order_id,order_date,customer_name,country,product,quantity,unit_price,currency,payment_status,invoice_due_date,order_status,ship_date,delivery_date,owner
SO-1001,2026-05-02,BrightPath SaaS,India,Automation Audit Package,1,1200,USD,Paid,2026-05-16,Delivered,2026-05-03,2026-05-06,Asha
SO-1002,2026/05/04,NorthStar Logistics,Singapore,RevOps Workflow Build,1,8500,USD,Pending,2026-05-20,Delivered,2026-05-05,2026-05-11,Ravi
SO-1003,05-06-2026,UrbanFit Studio,India,WhatsApp Lead Follow-up,2,950,USD,Paid,2026-05-21,Delivered,2026-05-08,2026-05-13,Asha
SO-1004,2026-05-11,PixelBloom Agency,United States,CRM Sync Sprint,1,4200,USD,Overdue,2026-05-25,Delivered,2026-05-12,2026-05-22,Neha
SO-1005,2026-05-13,CloudLedger Books,India,Invoice Automation Setup,1,3600,USD,Pending,2026-06-05,In Progress,2026-05-18,,Ravi
SO-1006,2026-05-18,EduNext Classes,India,Student CRM Agent,1,5200,USD,Paid,2026-06-01,Delivered,2026-05-19,2026-05-23,Asha
SO-1007,2026-05-22,FinOps Bridge,United States,Onboarding Handoff Automation,1,9800,USD,Pending,2026-06-10,Delivered,2026-05-24,2026-06-02,Neha
SO-1008,2026-05-26,Medix Supplies,UAE,Quote Routing System,1,6700,USD,Overdue,2026-06-08,Delayed,2026-05-28,,Ravi
SO-1009,2026-06-03,RenewGrid Energy,United States,Partner Lead Routing,1,12500,USD,Paid,2026-06-18,Delivered,2026-06-04,2026-06-11,Neha
SO-1010,2026-06-07,Artisan Market,India,Starter Automation Review,1,700,USD,Pending,2026-06-21,Delivered,2026-06-08,2026-06-12,Asha
SO-1011,2026-06-11,TalentNest,India,Support Triage Workflow,1,4300,USD,Paid,2026-06-25,Delivered,2026-06-13,2026-06-17,Ravi
SO-1012,2026-06-14,WarehouseIQ,United States,DataOps Dashboard,1,7600,USD,Pending,2026-06-28,In Progress,2026-06-15,,Neha
SO-1013,2026-06-17,Atlas CRM,United States,API Monitoring Workflow,1,,USD,Pending,2026-07-01,New,,,Ravi
SO-1014,invalid-date,Sample Dirty Row,India,Data Cleanup Test,1,500,USD,Pending,2026-07-02,New,,,Asha

