order_id,order_date,customer_name,country,product,quantity,unit_price,currency,amount,payment_status,invoice_due_date,order_status,ship_date,delivery_date,owner,is_overdue,is_delayed,is_valid_revenue,data_quality_issues
SO-1001,2026-05-02,BrightPath SaaS,India,Automation Audit Package,1,1200.00,USD,1200.00,Paid,2026-05-16,Delivered,2026-05-03,2026-05-06,Asha,no,no,yes,none
SO-1002,2026-05-04,NorthStar Logistics,Singapore,RevOps Workflow Build,1,8500.00,USD,8500.00,Pending,2026-05-20,Delivered,2026-05-05,2026-05-11,Ravi,yes,no,yes,none
SO-1003,2026-05-06,UrbanFit Studio,India,WhatsApp Lead Follow-up,2,950.00,USD,1900.00,Paid,2026-05-21,Delivered,2026-05-08,2026-05-13,Asha,no,no,yes,none
SO-1004,2026-05-11,PixelBloom Agency,United States,CRM Sync Sprint,1,4200.00,USD,4200.00,Overdue,2026-05-25,Delivered,2026-05-12,2026-05-22,Neha,yes,no,yes,none
SO-1005,2026-05-13,CloudLedger Books,India,Invoice Automation Setup,1,3600.00,USD,3600.00,Pending,2026-06-05,In Progress,2026-05-18,,Ravi,yes,no,yes,none
SO-1006,2026-05-18,EduNext Classes,India,Student CRM Agent,1,5200.00,USD,5200.00,Paid,2026-06-01,Delivered,2026-05-19,2026-05-23,Asha,no,no,yes,none
SO-1007,2026-05-22,FinOps Bridge,United States,Onboarding Handoff Automation,1,9800.00,USD,9800.00,Pending,2026-06-10,Delivered,2026-05-24,2026-06-02,Neha,yes,no,yes,none
SO-1008,2026-05-26,Medix Supplies,UAE,Quote Routing System,1,6700.00,USD,6700.00,Overdue,2026-06-08,Delayed,2026-05-28,,Ravi,yes,yes,yes,missing_delivery_date_for_closed_or_delayed_order
SO-1009,2026-06-03,RenewGrid Energy,United States,Partner Lead Routing,1,12500.00,USD,12500.00,Paid,2026-06-18,Delivered,2026-06-04,2026-06-11,Neha,no,no,yes,none
SO-1010,2026-06-07,Artisan Market,India,Starter Automation Review,1,700.00,USD,700.00,Pending,2026-06-21,Delivered,2026-06-08,2026-06-12,Asha,yes,no,yes,none
SO-1011,2026-06-11,TalentNest,India,Support Triage Workflow,1,4300.00,USD,4300.00,Paid,2026-06-25,Delivered,2026-06-13,2026-06-17,Ravi,no,no,yes,none
SO-1012,2026-06-14,WarehouseIQ,United States,DataOps Dashboard,1,7600.00,USD,7600.00,Pending,2026-06-28,In Progress,2026-06-15,,Neha,no,no,yes,none
SO-1013,2026-06-17,Atlas CRM,United States,API Monitoring Workflow,1,0.00,USD,0.00,Pending,2026-07-01,New,,,Ravi,no,no,no,missing_number
SO-1014,,Sample Dirty Row,India,Data Cleanup Test,1,500.00,USD,500.00,Pending,2026-07-02,New,,,Asha,no,no,no,invalid_date:invalid-date
